MODEL, CONNECTOR, FORM, MATCH, SCANNED, SIZE, MAKER
0B200_00200200, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_00870000, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_02270000, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_02780000, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_03060000, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_03190400, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_03190800, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_03200000, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_03340000, UNKNOWN, UNKNOWN, true, true, , Asus
0B200_03450000, UNKNOWN, UNKNOWN, true, true, , Asus
0B23_00D7000M, MAYBE_PM, SQUARE, true, true, , Medion
121500232, UNKNOWN, UNKNOWN, true, true, , Lenovo
15UD560_KX50K, PIN_10, RECTANGLE, true, true, , Lg
1V2F6, UNKNOWN, UNKNOWN, true, true, , Dell
21CP4_73_120, UNKNOWN, UNKNOWN, true, true, , Lg
21CP5_74_109, UNKNOWN, UNKNOWN, true, true, , Hasee
2310, PIN_10, SQUARE, true, true, , Iota
2666144, PANDA_PM, SQUARE, true, true, , Teclast
2865165_2P, PANDA_PM, SQUARE, true, true, , Cube
2869178, PANDA_PM, SQUARE, true, true, 169.0 x 126.0 x 3.4, Jumper
2877164_2S, PANDA_PM, SQUARE, true, true, , Chuwi
2898141P, PM, SQUARE, true, true, , Prestigio
2ICP3_100_107, UNKNOWN, UNKNOWN, true, true, , Acer
2ICP3_78_180, UNKNOWN, UNKNOWN, true, true, , Prestigio
2ICP4_74_131_3, UNKNOWN, UNKNOWN, true, true, , Wacom
2ICP4_75_110, UNKNOWN, UNKNOWN, true, true, , Mcnair
2ICP4_78_106, UNKNOWN, UNKNOWN, true, true, , Mcnair
2ICP4_78_108, UNKNOWN, UNKNOWN, true, true, , Hasee
2ICP4_79_101_2, UNKNOWN, UNKNOWN, true, true, , Lenovo
2ICP4_85_128, UNKNOWN, UNKNOWN, true, true, , Jumper
2ICP4_86_125, UNKNOWN, UNKNOWN, true, true, , Medion
2ICP5_38_67_4, UNKNOWN, UNKNOWN, true, true, , Lenovo
2ICP5_40_115_2, UNKNOWN, UNKNOWN, true, true, , Asus
2ICP5_43_126_2, UNKNOWN, UNKNOWN, true, true, , Hasee
2ICP5_50_112, UNKNOWN, UNKNOWN, true, true, , Clevo
2ICP5_50_112_2, UNKNOWN, UNKNOWN, true, true, , Wooking
2ICP5_60_80_2, UNKNOWN, UNKNOWN, true, true, , Acer
2ICP5_62_81_2, UNKNOWN, UNKNOWN, true, true, , Huawei
2ICP5_71_120, UNKNOWN, UNKNOWN, true, true, , Medion
2ICP6_56_77, UNKNOWN, UNKNOWN, true, true, , Acer
2ICP6_68_143, UNKNOWN, UNKNOWN, true, true, , Mcnair
2ICP6_78_116, UNKNOWN, UNKNOWN, true, true, , Other
30154200P, PANDA_PM, SQUARE, true, true, , Cube
31130148P, PANDA_PM, UNKNOWN, true, true, , Chuwi
31152200P, PANDA_PM, SQUARE, true, true, , Other
32160205P, PM, SQUARE, true, true, , Chuwi
3376125_2S, MAYBE_PM, RECTANGLE, true, true, , Other
3585282P, PANDA_PM, RECTANGLE, true, true, , Jumper
3587265P, PANDA_PM, RECTANGLE, true, true, , Jumper
3685105, UNKNOWN, UNKNOWN, true, true, , Chuwi
40069191, PIN_10, UNKNOWN, true, true, , Medion
5B10W67296, UNKNOWN, UNKNOWN, true, true, , Lenovo
775624_121, UNKNOWN, UNKNOWN, true, true, , Hp
7WMM7, MAYBE_PM, RECTANGLE, true, true, , Dell
80R9, UNKNOWN, UNKNOWN, true, true, , Lenovo
859027121, UNKNOWN, UNKNOWN, true, true, , Hp
900X3A, UNKNOWN, UNKNOWN, true, true, , Samsung
930X2K, UNKNOWN, UNKNOWN, true, true, , Samsung
930X5J, UNKNOWN, UNKNOWN, true, true, , Samsung
A100_2S1P_3500, UNKNOWN, UNKNOWN, true, true, , Hasee
AC13A3L, UNKNOWN, UNKNOWN, true, true, , Acer
AEROBOOK_CWI510, PANDA_PM, UNKNOWN, true, true, , Chuwi
AIR_13_3, PANDA_PM, SQUARE, true, true, , Other
AK14, UNKNOWN, UNKNOWN, true, true, , Bben
AP13F3N, UNKNOWN, UNKNOWN, true, true, , Acer
ASPIRE_3_A315_21, UNKNOWN, UNKNOWN, true, true, , Acer
ASPIRE_P3，P3_131，P3_171, UNKNOWN, UNKNOWN, true, true, , Acer
ASPIRE_S3_392G, UNKNOWN, UNKNOWN, true, true, , Acer
ASPIRE_S7_392, UNKNOWN, UNKNOWN, true, true, , Acer
ASPIRE_S7_392_9890, UNKNOWN, UNKNOWN, true, true, , Acer
ASTERIX23, UNKNOWN, UNKNOWN, true, true, , Wacom
AT10LE_A_107, UNKNOWN, UNKNOWN, true, true, , Toshiba
AT10PE，AT10LE, UNKNOWN, UNKNOWN, true, true, , Toshiba
BA43_00315A, UNKNOWN, RECTANGLE, true, true, 85.0 x 8.0 x 0.0, Samsung
BA43_00364A, UNKNOWN, UNKNOWN, true, true, , Samsung
BTSWATA0B20, UNKNOWN, UNKNOWN, true, true, , Malata
BTY_S37, PIN_10, RECTANGLE, true, true, , Msi
BT_A0B2, UNKNOWN, UNKNOWN, true, true, , Malata
C21N1335, UNKNOWN, UNKNOWN, true, true, , Asus
C21N1423, UNKNOWN, UNKNOWN, true, true, , Asus
C21N1613, UNKNOWN, UNKNOWN, true, true, , Asus
C21_TX300P, UNKNOWN, UNKNOWN, true, true, , Asus
CHROMEBOOK_14_Q010NR，14_Q020NR, UNKNOWN, UNKNOWN, true, true, , Hp
CLTD_3585282, UNKNOWN, UNKNOWN, true, true, , Chuwi
CP305193L1, MAYBE_PM, RECTANGLE, true, true, , Dell
ELEGANCE_14_2, UNKNOWN, UNKNOWN, true, true, , Kiano
ES1AU, UNKNOWN, UNKNOWN, true, true, , Tongfang
ES1AU_00_00_15_2S1P_0, UNKNOWN, UNKNOWN, true, true, , Medion
EZBOOK_3L_PRO, PANDA_PM, SQUARE, true, true, , Jumper
EZBOOK_3_PRO_LB10, PANDA_PM, SQUARE, true, true, , Jumper
EZBOOK_X1, PANDA_PM, SQUARE, true, true, , Jumper
EZPAD_6S_PRO, PANDA_PM, SQUARE, true, true, , Jumper
EZPAD_6_PLUS, PANDA_PM, SQUARE, true, true, , Jumper
E_BOOK_PRO_EB14AI32_14_1, UNKNOWN, UNKNOWN, true, true, , Microtech
F302L, UNKNOWN, UNKNOWN, true, true, , Asus
F302U, UNKNOWN, UNKNOWN, true, true, , Asus
FORCE_S4, UNKNOWN, UNKNOWN, true, true, , Terrans_force
GD1JP, UNKNOWN, UNKNOWN, true, true, , Dell
GP_S20_6462B4_0100, UNKNOWN, UNKNOWN, true, true, , Simplo
GS30, PIN_10, RECTANGLE, true, true, , Msi
GS30_2M_013C, UNKNOWN, UNKNOWN, true, true, , Msi
GS40_Q6E, UNKNOWN, UNKNOWN, true, true, , Msi
HSTNN_UB7B, UNKNOWN, UNKNOWN, true, true, , Hp
HT06_V3_0, UNKNOWN, UNKNOWN, true, true, , Other
HW_34154184, PANDA_PM, SQUARE, true, true, , Chuwi
H_31145165P, PIN_10, SQUARE, true, true, , Onda
IDEAPAD_100S_141BR, UNKNOWN, UNKNOWN, true, true, , Lenovo
IDEAPAD_320_15IBD, UNKNOWN, UNKNOWN, true, true, , Lenovo
IDEAPAD_330_14IKB, UNKNOWN, UNKNOWN, true, true, , Lenovo
INSPIRON_5542, UNKNOWN, UNKNOWN, true, true, , Dell
JUMPER_2869178, UNKNOWN, UNKNOWN, true, true, , Cube
K451LN, UNKNOWN, UNKNOWN, true, true, , Asus
L10M2121, UNKNOWN, UNKNOWN, true, true, , Lenovo
M4, PM, SQUARE, true, true, , Haier
MAXBOOK_Y11_H1M6, PANDA_PM, SQUARE, true, true, , Teclast
MLP2668145_2S, MAYBE_PM, SQUARE, true, true, , Mcnair
MLP2874170_2S, MAYBE_PM, UNKNOWN, true, true, , Trekstor
MLP3490132_2S, PM, RECTANGLE, true, true, , Other
MLP4087118, MAYBE_PM, RECTANGLE, true, true, , Mcnair
MLP4270136_2S, MAYBE_PM, RECTANGLE, true, true, , Acer
MLP4772126_2S, MAYBE_PM, RECTANGLE, true, true, , Mcnair
MS1_13F1, PIN_10, RECTANGLE, true, true, , Msi
MT133, UNKNOWN, UNKNOWN, true, true, , Grefu
N4E62AV, UNKNOWN, UNKNOWN, true, true, , Hp
NB111, PM, SQUARE, true, true, , Irbis
NB125, PANDA_PM, SQUARE, true, true, , Irbis
NB131, UNKNOWN, UNKNOWN, true, true, , Irbis
NC140BW1_2S1P, UNKNOWN, UNKNOWN, true, true, , Lenovo
NOTEBOOK_9_900X3L, UNKNOWN, UNKNOWN, true, true, , Samsung
NOTEBOOK_9_PEN, UNKNOWN, UNKNOWN, true, true, , Samsung
NP530U4E, UNKNOWN, UNKNOWN, true, true, , Samsung
NP900X3L_K03, UNKNOWN, UNKNOWN, true, true, , Samsung
NV30140146, PANDA_PM, SQUARE, true, true, , Chuwi
NV_4774126_2S, MAYBE_PM, RECTANGLE, true, true, , Jumper
NV_5267103_2S, MAYBE_PM, RECTANGLE, true, true, , Prestigio
P302LA, UNKNOWN, UNKNOWN, true, true, , Asus
P3361160, PANDA_PM, UNKNOWN, true, true, , Teclast
PA5123U_1BRS, UNKNOWN, UNKNOWN, true, true, , Toshiba
PAVILION_X360_11_K100NL, UNKNOWN, UNKNOWN, true, true, , Hp
PRIMEBOOK_C11, PANDA_PM, UNKNOWN, true, true, , Trekstor
PRO_X2_612_G1, UNKNOWN, UNKNOWN, true, true, , Hp
PT3488127_2S, UNKNOWN, UNKNOWN, true, true, , Hasee
QT_50160201P, UNKNOWN, UNKNOWN, true, true, , Other
R301LA, UNKNOWN, UNKNOWN, true, true, , Asus
S130, UNKNOWN, UNKNOWN, true, true, , Peaq
S451L, UNKNOWN, UNKNOWN, true, true, , Asus
SL10082_6, UNKNOWN, UNKNOWN, true, true, , Samsung
SL10082_7, UNKNOWN, UNKNOWN, true, true, , Samsung
SL10120_1, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10148_4, UNKNOWN, UNKNOWN, true, true, , Dell
SL10152_4, UNKNOWN, UNKNOWN, true, true, , Dell
SL10154_2, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10185_2, UNKNOWN, UNKNOWN, true, true, , Samsung
SL10232_4, UNKNOWN, UNKNOWN, true, true, , Dell
SL10308_2, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10343_4, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10352_3, UNKNOWN, UNKNOWN, true, true, , Dell
SL10401_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL10403_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL10403_4, UNKNOWN, UNKNOWN, true, true, , Asus
SL10413_5, UNKNOWN, UNKNOWN, true, true, , Lg
SL10425_3, UNKNOWN, UNKNOWN, true, true, , Samsung
SL10483_2, UNKNOWN, UNKNOWN, true, true, , Acer
SL10484_2, UNKNOWN, UNKNOWN, true, true, , Acer
SL10484_4, UNKNOWN, UNKNOWN, true, true, , Acer
SL10531_3, UNKNOWN, UNKNOWN, true, true, , Hp
SL10532_2, UNKNOWN, UNKNOWN, true, true, , Samsung
SL10532_3, UNKNOWN, UNKNOWN, true, true, , Samsung
SL10537_1, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10537_2, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10540_2, UNKNOWN, UNKNOWN, true, true, , Dell
SL10558_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL10582_3, UNKNOWN, UNKNOWN, true, true, , Olivetti
SL10585_1, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10603_3, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10638_3, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10650_1, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10655_2, UNKNOWN, UNKNOWN, true, true, , Dell
SL10655_3, UNKNOWN, UNKNOWN, true, true, , Dell
SL10675_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL10706_3, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10709_2, UNKNOWN, UNKNOWN, true, true, , Dell
SL10713_1, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10748_2, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10751_3, UNKNOWN, UNKNOWN, true, true, , Fujitsu
SL10751_4, UNKNOWN, UNKNOWN, true, true, , Fujitsu
SL10789_4, UNKNOWN, UNKNOWN, true, true, , Hp
SL10802_3, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10804_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL10804_3, UNKNOWN, UNKNOWN, true, true, , Asus
SL10805_2, UNKNOWN, UNKNOWN, true, true, , Dell
SL10811_2, UNKNOWN, UNKNOWN, true, true, , Dell
SL10817_3, UNKNOWN, UNKNOWN, true, true, , Toshiba
SL10831_1, UNKNOWN, UNKNOWN, true, true, , Acer
SL10831_2, UNKNOWN, UNKNOWN, true, true, , Acer
SL10849_4, UNKNOWN, UNKNOWN, true, true, , Hp
SL10849_5, UNKNOWN, UNKNOWN, true, true, , Hp
SL10878_2, UNKNOWN, UNKNOWN, true, true, , Dell
SL10922_1, UNKNOWN, UNKNOWN, true, true, , Xiaomi
SL10945_1, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL10974_1, UNKNOWN, UNKNOWN, true, true, , Dell
SL11007_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL11028_2, UNKNOWN, UNKNOWN, true, true, , Vizio
SL11055_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL11139_1, UNKNOWN, UNKNOWN, true, true, , Getak
SL11139_2, UNKNOWN, UNKNOWN, true, true, , Getak
SL11150_1, UNKNOWN, UNKNOWN, true, true, , Getak
SL11153_2, UNKNOWN, CUSTOM, true, true, , Microsoft
SL20011_6, UNKNOWN, CUSTOM, true, true, , Hp
SL20226_1, UNKNOWN, UNKNOWN, true, true, , Samsung
SL20226_2, UNKNOWN, UNKNOWN, true, true, , Samsung
SL20257_1, UNKNOWN, UNKNOWN, true, true, , Asus
SL20257_2, UNKNOWN, UNKNOWN, true, true, , Asus
SL20279_2, UNKNOWN, UNKNOWN, true, true, , Lenovo
SL20290_1, PANDA_PM, SQUARE, true, true, , Chuwi
SQU_1209, CUSTOM, UNKNOWN, true, true, , Hasee
SSBS47, UNKNOWN, UNKNOWN, true, true, , Hasee
SURFACE_PRO_5_1796, CUSTOM, UNKNOWN, true, true, , Microsoft
SVP132190S, CUSTOM, CUSTOM, true, true, , Sony
T07G, CUSTOM, CUSTOM, true, true, , Dell
T12, UNKNOWN, UNKNOWN, true, true, , Other
THINKER_I35, PANDA_PM, SQUARE, true, true, 169.0 x 126.0 x 3.4, Cube
THINKPAD_10_2RD, UNKNOWN, UNKNOWN, true, true, , Lenovo
